Category;Title;Content
Araç Takip;Turkcell Den Mobiliz Den Şikayetçiyim;"Turkcell telekomünikasyon şirketinden kesinlikle Mobiliz araç takip cihazı alınmamalı. 24 ay taahhütte bulunduk, 24 ay boyunca Turkcell'e takip ücretlerini ödedik. Hat ücreti ve cihaz ücreti ise ayrıca ödendi. 24 ayın sonunda cihazların anlaşmasını iptal ettikten bir yıl sonra, Mobiliz tarafından bize 3.000 TL borç çıkarıldı. Turkcell ile iletişime geçtiğimizde, bize herhangi bir borcumuzun olmadığını, böyle bir işlemin mümkün olmadığını söylediler; ancak söz konusu borç hâlâ duruyor."
Araç Takip;Turkcell Kurumsal Müşteri Temsilcisinin Garip Tavırları;"Turkcell Araç takip ile ilgili faturanın yüksek gelmesi konusunda bilgi almak istiyorum. 08:00 den bu yana aramadığım araştırmadığım numara kalmadı. Sonunda bir temsilciye kendi kullanımlarım üstünden bağlanabildim. Kendisi kurumsala yönlendirdi. Orada görüştüğüm bir temsilci kendisinin teknik destek olduğunu verdiğim Vergi No ile bize bakan 0539********41 F**** hanım adına bir çalışanın telefon numarası ve Kütahya Merkez dediğimde bölge numarasını 0242 511 33 33 verdi. F**** hanımı aradığıma pişman oldum. Kendimi tanıttım daha olayı anlatmadan azarlar derecede bu numarayı aramamamı, numarayı kimden aldığımı vs resmen terbiye eder derecede bir üslupla cevap verdi. Araya girip konuşmama dahi müsaade etmeyince telefonu yüzüne kapattım. Lütfen müşteri temsilcilerinize biraz insanlık eğitimi verin. Ben sağda solda gördüğüm bir numarayı aramadım. Sizin müşteri temsilcinizin ""Sizin müşteri temsilciniz"" diye verdiği numarayı aradım. F**** hanım çalışanınız birilerine ayar vermek hizaya çekmek istiyorsa birilerini sizi arasın ve kendi meslektaşlarını numarasını vermemesi konusunda terbiye etsin. Çalışanlarınızı eğitim ve sahip çıkın."
Araç Takip;Turkcell Hat Vermeyip Cihazı Yolluyor Ve Ödemesini Her Ay Alıyor!;Üç ay önce araç takip cihazı kampanyası ile aylık 250 TL bedeli karşılığında cihaz gönderdiler. Ancak cihazların hatlarını üç ay geçmesine rağmen hala göndermediler. Üç aydır faturasını ödüyorum. Madem hatları üç aydır göndermiyorsunuz, ben bu cihazları iade edip iptal etmek istiyorum. Ancak bunu da yapmıyorlar.
Araç Takip;Turkcell -mobiliz Kullanım Sorunları Ekstra Ücretlendirme;"Turkcell üzerinden almış olduğum Mobiliz araç takip sistemini aylardır kullanamıyorum. Defalarca aramama rağmen ilgili bir danışman, çağrı merkezi çalışanı ya da teknik destek tarafından geri dönüş yapılmıyor. Şikayet kayıtlarım tamamen göz ardı ediliyor; ancak faturalandırma eksiksiz devam ediyor fakat sisteme giriş yapamıyorum. Turkcell çalışanlarının oldukça laubali, lakayıt ve duyarsız olduğunu düşünüyorum. Sorunumu çağrı merkezi veya müşteri temsilcisi ile çözemediğim için Şikayetvar.com'dan çözüm aramak zorunda kalmam ayrı bir ironi. Umarım bu durum son bulur ve sorunum acilen çözülür. Ayrıca, yaklaşık 4 aydır kullanamadığım hizmetlerin ücret iadesini talep ediyorum."
Araç Takip;Turkcell, Kendi Sattığı Araç Takip Sistemi İçin Hattımı Aktif Etmiyor.;"20 Haziran 2023 tarihinde Turkcell'den Seyir Mobil Araç Takip Sistemi aldım. Turkcell'in yönlendirdiği servise gidip cihazı aracıma taktırdım. 5 Ay geçmesine rağmen cihazımdaki hattım hiç aktif olmadı. Defalarca müşteri hizmetlerini aramama rağmen ""talebinizle ilgili çalışmalar devam etmektedir"" diyerek beni oyalıyorlar. 5 Aydır düzenli olarak abonelik ücretini ödememe rağmen mağduriyetim devam ediyor."
Araç Takip;Turkcell Haksız Kazanç Sağlıyor;"Merhabalar
Turkcell firması daha önce defalarca araç takip cihazlarının içinde bulunan hatları için başvuru yaptım ve iptal başvurusu için benden mail ile kimlik istediler gönderdim iptal dilekçesi yazdım iptal edildi denilmesine rağmen hakkımda icra dosyası açıp benden yeniden ödeme talep ettiler.
Bu konuda şikayetçiyim. Hatlar gökyüzü kurumsal mimarlık şirketi adına kayıtlı
telefon numaraları
0531************31 717 9343 0507 186 2649.
Turkcell'den bu konuda tam bir dolan dirici"
Araç Takip;Turkcell M2m Hatları Hakkında Bilgi Almak İstiyorum;Prim a. Ş. Çalışanı m*** 11.10.2022 tarihinde firmamızı gerçekleştirdiği ziyarette Turkcell m2m hatlarının artık kullanılmayacağını bize tebliğ etmiştir. Yerine ses hattı kullanmamızı tarife fiyatlarının da aynı olacağı bilgisini paylaşmıştır. Turkcell merkezinde aldığım bilgiye göre m2m hat hizmeti devam etmektedir ve faturalarımızın fazla gelmesinin sebebi m2m hat olmamasıdır. Fazladan taahhüt tamamlanması için tarafımıza 5 hat daha verilmiştir. Prim a. Ş. Ve m**** hakkında suç duyurusunda bulunuyorum. Araç takip servis ve geriye dönük zararımızın karşılanmasını talep ediyorum. İhtaren duyurulur.
Araç Takip;Turkcell Kurumsal Hizmetleri Hakkında Şikayet;Şirketimiz bünyesinde 4 adet araç bulunmaktadır. 3 aydır müşteri hizmetlerinden araçlarımız için araç takip hattı (4adet) talep etmeme rağmen bir türlü hatlarım gelmedi. Turkcell gibi kurumsal bir firmanın 3 aydır 4 adet takip hattını sağlayamaması utanç verici. Kurumsal temsilciler telefona bakmıyor. Genel Merkez Müşteri temsilcisi defalarca kayıt oluşturmasına rağmen halan hatlarımız tarafımıza ulaşmadı. Ne ilgilenen oldu ne gelen giden. Turkcell Kurumsal olarak hizmet veremeyecekse bunu dile getirsin. Rekabet Kuruluna gerekli dilekçeyi vermemi mi bekliyorlar anlamadım.
Araç Takip;Turkcell Digisel Dijital İletişim - Kçm - (Konak/İzmir);"Aylar öncesinde Konak bayiisine bağlı çalışan e** k** ve yanında gelen saha arkadaşı ile birlikte anlaşma yapılıp, 2.150 TL her şey dahil faturanız gelecek en fazla dendi. Bunun için iştecep anlaşması yapılması gerekiyor dendi ve bize 6 tane daha hat sattı, araç takip cihazlarını sattı. Hiç kullanmadık, şimdi o hatlara da iştecep anlaşması da yapmamışlar, faturaya ek gelmeye devam ediyor. Faturalarımız 4.900 TL civarları geldi, son faturamız 3.700 TL. Hala arada uçurum var söyledikleri rakamlar ile.
Bu işlemleri yapan digisel dijital iletişim - kçm - (Konak/İzmir) bayiisi. Ve kendilerine ulaşamıyoruz. Turkcell de bunun arkasında durmuyor. Her gün geliyoruz yoldayız diyorlar ve gelmiyorlar. E** K**'nın üstü m** bey de kesinlikle dikkate almıyor bizi. Aradaki fazla alınan paralarımızın iadesini istiyoruz. Saha ekibi değişti diyorlar, danışmanımız değişiyor herkese dert anlatmaktan yıldık artık."
Araç Takip;Turkcell 7 Aydır Data Hattı Açamıyor;"Aracımızda bulunan araç takip cihazı için şubat 2023'te istediğimiz data hattı. 2 kere numara değişikliği 1 kere sim kart arızası. Personelin işsiz kalması, data hat ayarlarının yapılmayı unutulması bayi değişikliği gibi sebeplerden dolayı tam 7 aydır kullanıma açılmadı. Son verilen hattın da sim kartı arızalı olduğu söylendi. Yeni gelen simkarta ücret talep edildi ayrıca araç takip için kullanılacak ayarlarında bizim tarafımızdan yapılması gerektiği söylendi.
En güzeli sim kartı çıkarırken zarar vermiş olabileceğimiz söylendi. Sadece 1 data hattını açmak ne kadar zor olabilir. Bu kadar umursamazlık ve beceriksizlik nasıl bir araya gelir inanmıyorum. Bu kadar büyük bir yatırımın sahada neler yaşadığı ve müşterilerini ne kadar mağdur ettiğini bilmesi gerekir."
Araç Takip;Turkcell Çalışmayan Araç Takip Cihazı;Piyasada talep gördükleri açık gördükleri bizde para kazanalım dedikleri büyük paralar kazanacağız hayaliyle Çin'den getirdikleri araç takip cihazı Kopilot filom cihazı 3 gündür çalışmıyor ve çalıştırmak için hiçbir eylem yapılmıyor. Adamlar 3 günde uzaya gidiyorlar
Araç Takip;Turkcell Müşteri Oyalıyor. Çözüm Yok;Turkcell müşteri hizmetleriyle görüşmemize istinaden şirketim 3 adet hat talep etti. Geleceğiz dendi ve gelinmedi. Sonra bayiden alın, biz kurumda da çeviririz dediler. Bayiden aldık. Bayiye araç takip hattı diye söylememize rağmen bize normal hat vermişler, sistem açılmadı. Sorduk, normal hat denildi, para alındı, kapatmak lazım dediler. Vergide alındı gitti. Sonra kurumsal müşteri temsilcisini aradık, biz araç takip hattı alacağız. Nasıl alırız? Yarım saat konuştuk ama alabileceğimiz bir yer yok, bayi gözükmüyor dendi. Şaka gibi, adamlar 15 günde 2 adet taşıt takip hattı veremedi.
Araç Takip;Turkcell Yetkililerine Ulaşabilmek Uzaya Çıkmak Gibi...;Muttimo Mobilya olarak, uluslararası müşterilerine üst segment projeler sunan köklü bir firmayız. İletişim ve araç takip hizmetlerini Turkcell den almaktayız. Firmanın Genel Müdürü olarak şubat ayında göreve başladım. Şubat ayından beri Turkcell'in bize belirlemiş olduğu Müşteri yetkilisi ile bir türlü sağlıklı iletişime geçemedim. Davet ettim yüz yüze gelemedim. Hem cihaz alımlarında, hem projelerde kullanılacak ürünler hem de personellerime verilecek hatlar için sürekli çağırmama rağmen ulaşmak mümkün olmadı. Tamamen ilgisizler. Turkcell'den yetkililere durumu söyledim değiştirilmesi için fakat bir sonuç alamadım. Sanırım iletişim çözümleri sunan Turkcell ile iletişime geçemedik. Başka bir operatör ile çalışmaya karar verdim. Bu ilgisizliğin herkes tarafından bilinmesini istedim.
Araç Takip;Turkcell Araç Takip İle İlgili Bilgilendirilme Taleplerimize Kayıtsız!;Turkcell araç takip ile ilgili bilgi talebine dönüş yapmıyor. Defalarca aciliyetini vurguladığımız halde! Kayıt oluşturulduktan sonra 48 saat içerisinde çözüm sağlanmış olur deniyor ama kayıt üzerinden 10 gün geçti. Sorun yok ki çözüm sağlasınlar ben sadece bilgi almak istiyorum ona bile 10 gündür dönüş yok.
Araç Takip;Turkcell Kopilot Araç Takip Cihazı;Turkcell bireysel Kopilot tek taraflı kapatılmış hiçbir bilgilendirme yok cihazları kendimize mi takacağız müşteri hizmetleri saatlerce bir birine yönlendiriyor ve kullanmadığım ürün için data internet erişim ücreti ödüyorum net doğru bilgi alışı yok müşteri temsilcileri yeterli bilgi sahibi değil
Araç Takip;Turkcell Araç Takip Sorunu;Şirketimizin 3 aracında Turkcell takip cihazı var. 1 aracımızdan 3 gündür sinyal alamıyoruz, müşteri hizmetleri işlem yapıyor size dönülecek diyor kimse dönmüyor. Konuyla ilgili çözüm bekliyoruz ama kimden alacağız geri dönüş bilmiyorum. Konuyla alakalı
Araç Takip;Turkcell Kopilot Hataları Konum Hatası!;Araç takip cihazı kullanıcısıyım. Kaç kez telefonda görüşmemize rağmen çözüm bulamadık. Araç park halindeyken çalışıyor, gözüküyor. Konumu yanlış veriyor, arayınca da mail ile 1 saat konuşuyor, fotoğraf at, video çek. Sıkıldım artık. Allah'tan sadece şirketin sadece 1 arabasına taktırdık, eğer araba çalınsa ben o aracı bulana kadar mal kalmaz içinde?
Araç Takip;Turkcell Ko Pilot GPRS Cihazları;Turkcell ko pilot GPRS araç takip cihazları almıştım 2 yıl taahhütlü araç kiralama işi ile uğraşıyordum. Maraş depreminde birçok aracımız maalesef kullanılamaz hale geldi! Birçok operatör taahhütleri deprem bölgesine özel kaldırdı ama maalesef Turkcell ko pilot defalarca aramama ve yazmama rağmen bunun mümkün olmadığını söylediler. Aylardır kullanmadığım GPRS cihazlarının aylık ödemelerini yapmak zorunda bırakıldım! Bir an önce sorunumun çözülmesini istiyorum.
Araç Takip;Turkcell Kopilot Sorumsuzluğu Bitmek Bilmiyor;Yıllardır Turkcell kurumsal müşterisiyim. Yeni aldığım motosiklet için takip cihazı araştırması yaptım Turkcell de karar kıldım kılmaz olaydım. Aradım müşteri hizmetleri bana Kopilot diye bir araç takip sistemleri var onu tavsiye ettiler bende olur dedim sonuçta Turkcell kurumsal müşterisiyim bir ayrıcalığım olur diye düşündüm. Neyse beni Kopilot için müşteri temsilcisi yolladılar geldi arkadaş söyleme falan hepsini imzaladım gitti. Ama bu nerede kurulum Turkcell dahi bilmiyor onlarca kez atamalarıma rağmen nerede nasıl nerede kurulum yapılıyor Turkcell dahi bilmiyor kendimi imkanlarımla 5 su sonra kurulum yapana birini buldum ve kurulum yaptırdım. Kurulum yapıldı ama bana bu sistemi getiren bana sözleşme imzalatan kişi sisteme yanlış numara yazdığı için ben sisteme giremedim. Onlarca kez aramama rağmen hiçbir şekilde çözüm sağlanamadı ve şu an bile kurumsal müşteri danışmanım telefonlarımı bile açmıyorlar artık. Ben 6 aydır boşuna her ay 100 TL Kopilot faturası ödüyorum. Şimdi benim güvenli olsun diye aldığım takip sistemi aktif değil. Motorumun çalışması durumundan Turkcell sorumludur. Saygılarımla
Araç Takip;Turkcell Kopilot Hatalı Cihaz Ve Muhatap Bulamama;"Turkcell Kopilot adı ile araç takip hizmeti sunmakta, anladığım kadarıyla bu hizmeti infotech firmasından almaktadır. Bu doğrultuda Kopilot Turkcell araç takibi için OBD2 tipi cihazları lanse etmektedir. Fakat İnfotech araç takip firması bahsi geçen cihazlar yerine aküden bağlantılı tipte farklı bir cihaz göndermektedir. 
Bu aküden bağlantılı cihazları araçlarımıza taktırdığımız takdirde araçların yetkili servisleri elektrik sisteminde kesme, ekleme vb. İşlemler/müdahale olduğu için araçların elektrik aksamında sorun olması durumunda garanti dışı bırakmaktadır. İnfotech araç takip firmasına yapılan montaj sonrası araçların elektrik tesisatına garanti verip verilmediğini sorduğumuzda olumsuz yanıt aldım. 
Ayrıca Şikayetvar platformunda baktığımda Kopilot sisteminin çalışmadığı ve benzer birçok sorunu olduğu yönünde şikayetler mevcut, fakat herkes şikayetini servis sağlayıcıdan ziyade Turkcell'e yazmış. Turkcell de işlemler zor yürüdüğü için kimse çözüm bulamıyor anlaşılan. Turkcell kurumsal müşteri hizmetleri konu hakkında bir çözüm üretmiyor. 2 aracımızda çalışan araç takip sistemlerini iptal ettiğimiz için hali hazırda araç takip hizmetlerinden faydalanamamaktayız. Türkiye'nin teknoloji devi dediğimiz Turkcell çok basit hususlarda yetersiz kalmaktadır."
Askercell;Turkcell Hattımın Askeriyede Uyarı Olmadan Kapatılması;"Turkcell hattım askerdeyken kapatıldı ve bunu belirtmeme rağmen askerde olan bir insanın hattı ön uyarı olmadan kapatıldı. Sebebi ise Askercell olduğu için ihlal etmem. Fakat zorla satılan ve 650 TL ödediğim Askercell bilgilendirme olmadan, af edersiniz ama kandırılarak satılması. Bilgi verilseydi ben saat 17.00'dan önce hattımı kullanarak ailemi aramazdım.
Numaram e-Devlet'te üzerime kayıtlı gözüküyor. Hattın askerde satın aldığım ve tamamen manevi bir anlamı olduğu için geri almak istiyorum. 185 gün ödeme yapılmamış hat kapatılmış vs dedi az önce aradığım hanımefendi. Fakat içerisinde öylece duran 150 liram ile beraber kapatıldı. İvedi şekilde bunu okuyandan tek isteğim hattımın geri açılması ve içerisine attığım liranın iadesinin sağlanması veyahut o ücretin telsiz kullanım olarak sayılmasıdır. Ekstra ücret ödemeyeceğimi bildiririm."
Askercell;Askercell Turkcell Hattında Şebeke Sıkıntısı;Askere giden abime 800 TL değerinde aldığım Turkcell Askercell hattında ciddi şebeke problemi yaşanıyor. Normal hat kabul edilmiyor diye almak zorunda kaldığımız numaradan henüz bir görüşme sağlayamadık. SMS veya konuşma yapılamıyor. Ne ben ona ulaşabiliyorum ne de o tanımlı kişilerine ulaşabiliyor. Sorun çözümü için destek bekliyorum. 1 haftayı geçti hala ne hat açılıyor ne de şebeke çekiyor acil yardim bekliyoruz.
Askercell;Turkcell Askercell Aranılmıyor Ve Görüşme Sağlanamıyor;0546***60 20 numaralı Askercell hattı zorunlu kılınıp satılmış ama ben askerdeki nişanlımı arayamıyorum. Onun da arama yaparken lira yüklemeniz gerekiyor diyor. Ben eğer görüşemeyeceksem bu Askercell neden zorunlu satıyorlar? Bu problemin giderilmesini istiyorum. Nişanlımı aramak istiyorum. Arama kabul etmiyor diyor. Acil şikayetimi giderin. Faturalı mı faturasız mı hat satıldı bilmiyorum. Ne şekilde paket yükleniyor, kaç dakikayla sınırlı bilmiyorum. Bilgilendirilmek istiyorum. En acil şekilde bana dönün.
Askercell;Turkcell Askercell Mesaj Sorunu: İletişim Kopukluğu;Erkek arkadaşım askerde ve Askercell hattı kullanıyor fakat mesajlarım gitmiyor, onun mesajları da gelmiyor. Aramada sıkıntı yok. En kısa sürede düzeltilsin lütfen. Sürekli aramada iletişim kurulmuyor. Rica ediyorum, en kısa sürede halledin. Halledin lütfen.
Askercell;Turkcell Askercell Arama Kısıtlaması Sorunu Ve Müşteri Hizmetleri İlgisizliği;Abim Askeriye girişinde Askercell aldı. Askercell arama kısıtlamasını kaldırmak için müşteri hizmetlerini aradım ama şubeden yapacaksınız dedi. Ailem şube ile görüştü aktif olduğunu söyledi fakat hâlâ Askercell kısıtlı bunun derhal düzeltilmesini istiyorum. Yoksa ilgili kurumlara gidip şikayette bulunacağım.
Askercell;Turkcell Askercell Çalışmaması Hk.;18.05.2024 tarihinde Amasya'ya bedelli askerliğe gittim. Gittiğimde Askercell almam gerektiği söylendi ve Turkcell bankosunda sıraya girip Askercell aldım. 850TL karşılığında Askercell satın aldım ve denemeye fırsatım olmadan içeri girdim. İçeri girip işlemleri hallettikten sonra akşam vakitlerinde hattı denedim. Hattı telefona taktığımda çalışmadı. Çok tekrar denemem rağmen hat maalesef çalışmadı. Bedelli askerlik boyunca telefonsuz kaldım ve Turkcelli arayıp durumu bildiremedim çünkü hattım yoktu. Ödediğim Askercell ücretinin tarafıma geri ödenmesini istiyorum. Bana ulaştığınız takdirde sim üzerindeki gerekli numaralı sizle paylaşabilirim.
Askercell;Turkcell Askeri Birlikte Zorunlu Hat Satışı Mağduriyeti;Kardeşimi dün Kütahya'da havacı olarak askere birliğine teslim ettik fakat kardeşim tuşlu telefon aldı. Yanına giderken içeri almadılar. Neymiş, Turkcell'in Askercell hattını almak zorundaymış yoksa içeri giremezmiş... Vatan görevini yapmaya gelmiş adama kapı önünde 'içeri alamıyoruz' bahanesiyle 900 TL'ye zorla hat çıkarttırdılar! Yazıklar olsun, başka bir şey demiyorum. Gariban adam olsa, onu askerliğini, vatan görevini yapamayacak yani... Benim eşimin ve babamın hattı Turkcell. Pazartesi günü hatları farklı bir operatöre taşıyoruz. 900 TL aldın ama 3 aboneni kaybettin. Yolun açık olsun Turkcell bey!
Askercell;Turkcell Askercell Hat Açılmadı;Turkcell Askercell hattım, askerliğimin 15 günü boyunca açılmadı. 850 TL ödeyerek 18 Mayıs'ta askerliğe girerken aldığım hat, 25 günlük askerlik sürem boyunca 15 gün kapalıydı. Daha sonra açıldı mı bilmiyorum çünkü artık bıktığım için denemedim. 550 kişilik bölüğümüz içinde bu sorunu yaşayan en az 100 kişi daha vardır. Verilen paralara yazık, insanlar aileleri ve çocukları ile iletişim kuramadılar.
Askercell;Turkcell Askercell Açılan Hatta Ulaşamama Sorunu.;Turkcell'i başka numaramdan da 1992 yılından beri kullanıyorum, hiç sorun yaşamamıştım. Ta ki oğluma Askercell alıp tuşlu telefona takıncaya kadar. 2G imiş Askercell, telefonu 3G olabilir mi? Bu sorunu nasıl çözeceğinizi de bilmiyorsunuz ve ben 18 Mayıs 2024'ten beri şebeke sorunu olduğundan ulaşamıyorum. Şimdi de KKTC'ye gitti, çarşı iznine çıkarılıncaya kadar bu işini yine halledemeyecek. Bu ilk açıldığında görüşme yapılıp yapılmadığını anlamak için ilk gün askere gitmeden görüşme ve arama yapılabilmeli ki, askere gitmeden bu sorunları çözebilelim. Çok pişman olduk Askercell açtırdığımıza. İnanamıyoruz bu duruma. Bu sorunla karşılaşmamız hiç doğru değil. Bir çözüm üretmek zorundasınız. Sana yakışmadı Turkcell.
